movieId,title
0,(500) Days of Summer
1,10 Things I Hate About You
2,101 Dalmatians
3,101 Dalmatians (One Hundred and One Dalmatians)
4,12 Angry Men
5,2001: A Space Odyssey
6,28 Days Later
7,300
8,"40-Year-Old Virgin, The"
9,50 First Dates
10,8 Mile
11,A.I. Artificial Intelligence
12,About a Boy
13,"Abyss, The"
14,Ace Ventura: Pet Detective
15,Ace Ventura: When Nature Calls
16,Adaptation
17,Addams Family Values
18,"Addams Family, The"
19,"Adventures of Priscilla, Queen of the Desert, The"
20,"African Queen, The"
21,Air Force One
22,Airplane!
23,Akira
24,Aladdin
25,Alice in Wonderland
26,Alien
27,Alien: Resurrection
28,Aliens
29,Alien³ (a.k.a. Alien 3)
30,Almost Famous
31,Amadeus
32,"Amelie (Fabuleux destin d'Amélie Poulain, Le)"
33,American Beauty
34,American Gangster
35,American Graffiti
36,American History X
37,American Pie
38,American Pie 2
39,"American President, The"
40,American Psycho
41,Analyze This
42,Anchorman: The Legend of Ron Burgundy
43,Anger Management
44,Animal House
45,Annie Hall
46,Antz
47,Apocalypse Now
48,Apollo 13
49,Arachnophobia
50,"Aristocats, The"
51,Armageddon
52,Army of Darkness
53,As Good as It Gets
54,Austin Powers in Goldmember
55,Austin Powers: International Man of Mystery
56,Austin Powers: The Spy Who Shagged Me
57,Avatar
58,"Avengers, The"
59,"Aviator, The"
60,Babe
61,Babel
62,Back to the Future
63,Back to the Future Part II
64,Back to the Future Part III
65,Bad Boys
66,Bambi
67,Basic Instinct
68,Batman
69,Batman & Robin
70,Batman Begins
71,Batman Forever
72,Batman Returns
73,"Beach, The"
74,"Beautiful Mind, A"
75,Beauty and the Beast
76,Beavis and Butt-Head Do America
77,Beetlejuice
78,Being John Malkovich
79,Ben-Hur
80,Bend It Like Beckham
81,Best in Show
82,Beverly Hills Cop
83,Beverly Hills Cop III
84,Big
85,Big Daddy
86,Big Fish
87,Big Hero 6
88,"Big Lebowski, The"
89,Bill & Ted's Excellent Adventure
90,Billy Elliot
91,Billy Madison
92,Bio-Dome
93,"Birdcage, The"
94,"Birds, The"
95,Black Hawk Down
96,Black Swan
97,Blade
98,Blade II
99,Blade Runner
100,"Blair Witch Project, The"
101,Blazing Saddles
102,"Blind Side, The "
103,Blood Diamond
104,Blow
105,Blue Velvet
106,"Blues Brothers, The"
107,"Bodyguard, The"
108,Bonnie and Clyde
109,Boogie Nights
110,"Boondock Saints, The"
111,"Boot, Das (Boat, The)"
112,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan
113,"Bourne Identity, The"
114,"Bourne Supremacy, The"
115,"Bourne Ultimatum, The"
116,Bowfinger
117,Bowling for Columbine
118,Boys Don't Cry
119,"Brady Bunch Movie, The"
120,Braveheart
121,Brazil
122,"Breakfast Club, The"
123,Breakfast at Tiffany's
124,"Bridge on the River Kwai, The"
125,Bridget Jones's Diary
126,Bring It On
127,Brokeback Mountain
128,Broken Arrow
129,Bruce Almighty
130,"Bug's Life, A"
131,Bull Durham
132,Burn After Reading
133,Butch Cassidy and the Sundance Kid
134,"Cable Guy, The"
135,Caddyshack
136,Cape Fear
137,Captain America: The First Avenger
138,Captain America: The Winter Soldier
139,Carlito's Way
140,Carrie
141,Cars
142,Casablanca
143,Casino
144,Casino Royale
145,Casper
146,Cast Away
147,Catch Me If You Can
148,"Cell, The"
149,Charlie and the Chocolate Factory
150,Charlie's Angels
151,Chasing Amy
152,Chicago
153,Chicken Run
154,Children of Men
155,Chinatown
156,Chocolat
157,"Christmas Story, A"
158,"Chronicles of Narnia: The Lion, the Witch and the Wardrobe, The"
159,Cinderella
160,Cinema Paradiso (Nuovo cinema Paradiso)
161,Citizen Kane
162,City Slickers
163,City Slickers II: The Legend of Curly's Gold
164,City of God (Cidade de Deus)
165,"City of Lost Children, The (Cité des enfants perdus, La)"
166,Clear and Present Danger
167,Clerks
168,"Client, The"
169,Cliffhanger
170,"Clockwork Orange, A"
171,Close Encounters of the Third Kind
172,Clueless
173,Cocoon
174,Collateral
175,Con Air
176,Conan the Barbarian
177,Coneheads
178,Congo
179,Conspiracy Theory
180,Constantine
181,Contact
182,Cool Hand Luke
183,Cool Runnings
184,Copycat
185,Coraline
186,Corpse Bride
187,"Craft, The"
188,Crash
189,"Crazy, Stupid, Love."
190,Crimson Tide
191,Crocodile Dundee
192,"Crouching Tiger, Hidden Dragon (Wo hu cang long)"
193,"Crow, The"
194,Cruel Intentions
195,"Crying Game, The"
196,"Curious Case of Benjamin Button, The"
197,"Da Vinci Code, The"
198,Dances with Wolves
199,Dangerous Minds
200,Daredevil
201,Dark City
202,"Dark Crystal, The"
203,"Dark Knight Rises, The"
204,"Dark Knight, The"
205,Dave
206,"Day After Tomorrow, The"
207,Dazed and Confused
208,Dead Man Walking
209,Dead Poets Society
210,Deadpool
211,Deep Impact
212,"Deer Hunter, The"
213,Demolition Man
214,"Departed, The"
215,Desperado
216,Despicable Me
217,"Devil Wears Prada, The"
218,Die Hard
219,Die Hard 2
220,Die Hard: With a Vengeance
221,Dirty Dancing
222,"Dirty Dozen, The"
223,Disclosure
224,District 9
225,Django Unchained
226,Dodgeball: A True Underdog Story
227,Dog Day Afternoon
228,Dogma
229,Don Juan DeMarco
230,Donnie Brasco
231,Donnie Darko
232,"Doors, The"
233,Down Periscope
234,Dr. Dolittle
235,Dr. No
236,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb
237,Dragonheart
238,Drive
239,"Dude, Where's My Car?"
240,Dumb & Dumber (Dumb and Dumber)
241,Dumbo
242,Dune
243,E.T. the Extra-Terrestrial
244,Ed Wood
245,Edge of Tomorrow
246,Edward Scissorhands
247,Election
248,Elf
249,Emma
250,"Emperor's New Groove, The"
251,Enemy at the Gates
252,Enemy of the State
253,"English Patient, The"
254,Entrapment
255,Equilibrium
256,Eraser
257,Erin Brockovich
258,Escape from L.A.
259,Escape from New York
260,Eternal Sunshine of the Spotless Mind
261,Evil Dead II (Dead by Dawn)
262,Executive Decision
263,"Exorcist, The"
264,Eyes Wide Shut
265,Face/Off
266,Fahrenheit 9/11
267,Fantasia
268,Fantastic Four
269,Fargo
270,Fast Times at Ridgemont High
271,"Fast and the Furious, The"
272,Fatal Attraction
273,Father of the Bride Part II
274,Fear and Loathing in Las Vegas
275,"Femme Nikita, La (Nikita)"
276,Ferris Bueller's Day Off
277,"Few Good Men, A"
278,Field of Dreams
279,"Fifth Element, The"
280,Fight Club
281,Final Destination
282,Final Fantasy: The Spirits Within
283,Finding Nemo
284,Finding Neverland
285,"Firm, The"
286,First Knight
287,"Fish Called Wanda, A"
288,"Fisher King, The"
289,"Fistful of Dollars, A (Per un pugno di dollari)"
290,"Flintstones, The"
291,"Fly, The"
292,For a Few Dollars More (Per qualche dollaro in più)
293,Forgetting Sarah Marshall
294,Forrest Gump
295,Four Weddings and a Funeral
296,Free Willy
297,"French Connection, The"
298,French Kiss
299,Frequency
300,From Dusk Till Dawn
301,From Russia with Love
302,Frozen
303,"Fugitive, The"
304,Full Metal Jacket
305,"Full Monty, The"
306,Galaxy Quest
307,"Game, The"
308,Gangs of New York
309,Garden State
310,Gattaca
311,Get Shorty
312,Ghost
313,Ghost World
314,Ghostbusters (a.k.a. Ghost Busters)
315,Ghostbusters II
316,"Girl with the Dragon Tattoo, The"
317,Gladiator
318,Glory
319,Go
320,"Godfather, The"
321,"Godfather: Part II, The"
322,"Godfather: Part III, The"
323,Godzilla
324,GoldenEye
325,Goldfinger
326,Gone Girl
327,Gone in 60 Seconds
328,Gone with the Wind
329,"Good Morning, Vietnam"
330,Good Will Hunting
331,"Good, the Bad and the Ugly, The (Buono, il brutto, il cattivo, Il)"
332,Goodfellas
333,"Goonies, The"
334,"Graduate, The"
335,Gran Torino
336,"Grand Budapest Hotel, The"
337,Gravity
338,Grease
339,"Great Escape, The"
340,"Green Mile, The"
341,Gremlins
342,Grosse Pointe Blank
343,Groundhog Day
344,Grumpier Old Men
345,Guardians of the Galaxy
346,Hackers
347,"Hangover, The"
348,Hannibal
349,Happy Gilmore
350,Harold and Kumar Go to White Castle
351,Harry Potter and the Chamber of Secrets
352,Harry Potter and the Deathly Hallows: Part 1
353,Harry Potter and the Deathly Hallows: Part 2
354,Harry Potter and the Goblet of Fire
355,Harry Potter and the Half-Blood Prince
356,Harry Potter and the Order of the Phoenix
357,Harry Potter and the Prisoner of Azkaban
358,Harry Potter and the Sorcerer's Stone (a.k.a. Harry Potter and the Philosopher's Stone)
359,Heat
360,Heathers
361,Heavy Metal
362,Hellboy
363,Hercules
364,Hero (Ying xiong)
365,High Fidelity
366,Highlander
367,Hitch
368,"Hitchhiker's Guide to the Galaxy, The"
369,"Hobbit: An Unexpected Journey, The"
370,Hollow Man
371,Home Alone
372,Home Alone 2: Lost in New York
373,"Honey, I Shrunk the Kids"
374,Hook
375,Hot Fuzz
376,Hot Shots! Part Deux
377,Hotel Rwanda
378,How the Grinch Stole Christmas (a.k.a. The Grinch)
379,How to Train Your Dragon
380,Howl's Moving Castle (Hauru no ugoku shiro)
381,"Hudsucker Proxy, The"
382,Hulk
383,"Hunchback of Notre Dame, The"
384,"Hunt for Red October, The"
385,"Hurt Locker, The"
386,I Am Legend
387,I Know What You Did Last Summer
388,"I, Robot"
389,I.Q.
390,Ice Age
391,"Illusionist, The"
392,In Bruges
393,In the Line of Fire
394,Inception
395,"Incredible Hulk, The"
396,"Incredibles, The"
397,Independence Day (a.k.a. ID4)
398,"Indian in the Cupboard, The"
399,Indiana Jones and the Kingdom of the Crystal Skull
400,Indiana Jones and the Last Crusade
401,Indiana Jones and the Temple of Doom
402,Inglourious Basterds
403,Inside Man
404,Inside Out
405,"Insider, The"
406,Insomnia
407,Interstellar
408,Interview with the Vampire: The Vampire Chronicles
409,Into the Wild
410,Intouchables
411,"Iron Giant, The"
412,Iron Man
413,Iron Man 2
414,Iron Man 3
415,"Island, The"
416,It's a Wonderful Life
417,"Italian Job, The"
418,JFK
419,Jackie Brown
420,James and the Giant Peach
421,Jaws
422,Jay and Silent Bob Strike Back
423,Jerry Maguire
424,Johnny Mnemonic
425,Judge Dredd
426,Jumanji
427,"Jungle Book, The"
428,Junior
429,Juno
430,Jurassic Park
431,Jurassic Park III
432,K-PAX
433,"Karate Kid, The"
434,Kick-Ass
435,Kill Bill: Vol. 1
436,Kill Bill: Vol. 2
437,King Kong
438,"King's Speech, The"
439,Kingpin
440,Kingsman: The Secret Service
441,Kiss Kiss Bang Bang
442,"Knight's Tale, A"
443,Knocked Up
444,Kung Fu Panda
445,L.A. Confidential
446,Labyrinth
447,Lady and the Tramp
448,Lara Croft: Tomb Raider
449,Last Action Hero
450,"Last Samurai, The"
451,"Last of the Mohicans, The"
452,Lawrence of Arabia
453,"League of Extraordinary Gentlemen, The (a.k.a. LXG)"
454,"League of Their Own, A"
455,Leaving Las Vegas
456,Legally Blonde
457,Legends of the Fall
458,Lethal Weapon
459,Lethal Weapon 2
460,Lethal Weapon 3
461,Lethal Weapon 4
462,Liar Liar
463,"Life Aquatic with Steve Zissou, The"
464,Life Is Beautiful (La Vita è bella)
465,Life of Pi
466,Like Water for Chocolate (Como agua para chocolate)
467,"Lion King, The"
468,"Little Mermaid, The"
469,Little Miss Sunshine
470,Little Shop of Horrors
471,Little Women
472,Live Free or Die Hard
473,"Lives of Others, The (Das leben der Anderen)"
474,"Lock, Stock & Two Smoking Barrels"
475,"Long Kiss Goodnight, The"
476,Looper
477,Lord of War
478,"Lord of the Rings: The Fellowship of the Ring, The"
479,"Lord of the Rings: The Return of the King, The"
480,"Lord of the Rings: The Two Towers, The"
481,"Lost World: Jurassic Park, The"
482,Lost in Translation
483,Love Actually
484,Lucky Number Slevin
485,Léon: The Professional (a.k.a. The Professional) (Léon)
486,M*A*S*H (a.k.a. MASH)
487,Mad Max
488,Mad Max: Fury Road
489,Madagascar
490,"Madness of King George, The"
491,Magnolia
492,Mallrats
493,"Maltese Falcon, The"
494,Man on Fire
495,Man on the Moon
496,"Manchurian Candidate, The"
497,Manhattan
498,Mars Attacks!
499,Mary Poppins
500,"Mask of Zorro, The"
501,"Mask, The"
502,Master and Commander: The Far Side of the World
503,Matchstick Men
504,Matilda
505,"Matrix Reloaded, The"
506,"Matrix Revolutions, The"
507,"Matrix, The"
508,Maverick
509,"Me, Myself & Irene"
510,Mean Girls
511,Meet the Fockers
512,Meet the Parents
513,Memento
514,Men in Black (a.k.a. MIB)
515,Men in Black II (a.k.a. MIIB) (a.k.a. MIB 2)
516,Million Dollar Baby
517,Minority Report
518,Miracle on 34th Street
519,Misery
520,Miss Congeniality
521,Mission: Impossible
522,Mission: Impossible II
523,"Monsters, Inc."
524,Monty Python and the Holy Grail
525,Monty Python's Life of Brian
526,Monty Python's The Meaning of Life
527,Moon
528,Mortal Kombat
529,Moulin Rouge
530,Mr. & Mrs. Smith
531,Mr. Holland's Opus
532,Mrs. Doubtfire
533,Much Ado About Nothing
534,Mulan
535,Mulholland Drive
536,Multiplicity
537,"Mummy Returns, The"
538,"Mummy, The"
539,"Muppet Movie, The"
540,Muriel's Wedding
541,My Best Friend's Wedding
542,My Big Fat Greek Wedding
543,My Cousin Vinny
544,My Fair Lady
545,My Neighbor Totoro (Tonari no Totoro)
546,Mystery Men
547,Mystery Science Theater 3000: The Movie
548,Mystic River
549,Naked Gun 33 1/3: The Final Insult
550,"Naked Gun: From the Files of Police Squad!, The"
551,Napoleon Dynamite
552,National Treasure
553,Natural Born Killers
554,Nell
555,"Net, The"
556,Never Been Kissed
557,"NeverEnding Story, The"
558,"Nightmare Before Christmas, The"
559,Nine Months
560,No Country for Old Men
561,North by Northwest
562,"Notebook, The"
563,Notting Hill
564,"Nutty Professor, The"
565,"O Brother, Where Art Thou?"
566,Ocean's Eleven
567,Ocean's Thirteen
568,Ocean's Twelve
569,Office Space
570,Old Boy
571,Old School
572,One Flew Over the Cuckoo's Nest
573,"Others, The"
574,Out of Sight
575,Outbreak
576,"Pan's Labyrinth (Laberinto del fauno, El)"
577,Panic Room
578,Patriot Games
579,"Patriot, The"
580,Patton
581,Payback
582,Pearl Harbor
583,"Perfect Storm, The"
584,Peter Pan
585,Phenomenon
586,Philadelphia
587,Phone Booth
588,Pi
589,"Pianist, The"
590,"Piano, The"
591,Pineapple Express
592,Pinocchio
